doi;coo_authors;num_authors;num_citation;num_institution;date;
10.1145/2556288.2556986;Juho Kim, Phu Tran Nguyen, Sarah A. Weir, Philip J. Guo, Robert C. Miller, Krzysztof Z. Gajos,;6;1;2;2022-04-29;
10.1145/2556288.2557052;Katharina Reinecke, Krzysztof Z. Gajos,;2;0;1;2022-10-22;
10.1145/2607023.2611454;Krzysztof Z. Gajos,;1;18;4;2019-05-02;
10.1145/2557500.2557544;Cheng-Zhi Anna Huang, David Duvenaud, Kenneth C. Arnold, Brenton Partridge, Josiah W. Oberholtzer, Krzysztof Z. Gajos,;6;3;2;2014-03-14;
10.1145/2557500.2557511;Louis Li, Krzysztof Z. Gajos,;2;0;3;2022-04-29;
10.1145/2556325.2566237;Juho Kim, Philip J. Guo, Daniel T. Seaton, Piotr Mitros, Krzysztof Z. Gajos, Robert C. Miller,;6;0;1;2022-12-16;
10.1145/2642918.2647389;Juho Kim, Philip J. Guo, Carrie J. Cai, Shang-Wen (Daniel) Li, Krzysztof Z. Gajos, Robert C. Miller,;6;0;1;2022-11-17;
10.1145/2642918.2647401;Juho Kim, Amy X. Zhang, Jihee Kim, Robert C. Miller, Krzysztof Z. Gajos,;5;6;3;2014-10-05;
10.1109/TVCG.2013.155;Michelle A. Borkin, Chelsea S. Yeh, Madelaine Boyd, Peter Macko, Krzysztof Z. Gajos, Margo I. Seltzer, Hanspeter Pfister,;7;8;1;2021-04-28;
10.1145/2468356.2479521;David R. Flatla, Katharina Reinecke, Carl Gutwin, Krzysztof Z. Gajos,;4;4;1;2019-10-24;
10.1145/2470654.2481283;David R. Flatla, Katharina Reinecke, Carl Gutwin, Krzysztof Z. Gajos,;4;2;3;2022-08-01;
10.1145/2468356.2468477;Juho Kim, Robert C. Miller, Krzysztof Z. Gajos,;3;7;1;2018-11-01;
10.1145/2470654.2470684;Steven Komarov, Katharina Reinecke, Krzysztof Z. Gajos,;3;0;1;2023-01-01;
10.1145/2468356.2479671;Katharina Reinecke, David R. Flatla, Erin Treacy Solovey, Carl Gutwin, Krzysztof Z. Gajos, Jeffrey Heer,;6;1;4;2013-04-27;
10.1145/2470654.2481281;Katharina Reinecke, Tom Yeh, Luke Miratrix, Rahmatri Mardiko, Yuechen Zhao, Jenny Liu, Krzysztof Z. Gajos,;7;0;1;2022-10-17;
10.1145/2441776.2441784;Katharina Reinecke, Minh Khoa Nguyen, Abraham Bernstein, Michael Näf, Krzysztof Z. Gajos,;5;0;3;2022-11-11;
10.1145/2090150.2090167;Krzysztof Z. Gajos, Amy Hurst, Leah Findlater,;3;1;2;2022-12-15;
10.1145/2207676.2208733;Krzysztof Gajos, Katharina Reinecke, Charles Herrmann,;3;14;2;2019-11-01;
10.1145/2207676.2207708;Haoqi Zhang, Edith Law, Rob Miller 0001, Krzysztof Gajos, David C. Parkes, Eric Horvitz,;6;0;3;2021-04-22;
10.1145/2141512.2141598;Juho Kim, Benjamin Malley, Joel Brandt, Mira Dontcheva, Diana M. Joseph, Krzysztof Z. Gajos, Robert C. Miller,;7;1;2;2021-09-01;
10.1145/1952383.1952384;Jacob O. Wobbrock, Shaun K. Kane, Krzysztof Z. Gajos, Susumu Harada, Jon Froehlich,;5;1;2;2022-12-15;
10.1109/TVCG.2011.192;Michelle Borkin, Krzysztof Gajos, Amanda Peters Randles, Dimitrios Mitsouras, Simone Melchionna, Frank J. Rybicki, Charles L. Feldman, Hanspeter Pfister,;8;0;1;2022-12-23;
10.1145/1979742.1979589;Amy Hurst, Krzysztof Gajos, Leah Findlater, Jacob O. Wobbrock, Andrew Sears, Shari Trewin,;6;4;2;2021-04-19;
10.1145/1978942.1979006;Lahiru G. Jayatilaka, Luca F. Bertuccelli, James Staszewski, Krzysztof Z. Gajos,;4;1;6;2018-06-20;
10.1145/2047196.2047198;Jon Noronha, Eric Hysen, Haoqi Zhang, Krzysztof Z. Gajos,;4;4;2;2022-04-01;
10.1016/J.ARTINT.2010.05.005;Krzysztof Z. Gajos, Daniel S. Weld, Jacob O. Wobbrock,;3;0;2;2022-06-28;
