doi;coo_authors;year
10.48550/ARXIV.2209.08682;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju;2022
10.48550/ARXIV.2210.15767;Michael L. Littman, Ifeoma Ajunwa, Guy Berger, Craig Boutilier, Morgan Currie, Finale Doshi-Velez, Gillian K. Hadfield, Michael C. Horowitz, Charles Isbell, Hiroaki Kitano, Karen Levy, Terah Lyons, Melanie Mitchell, Julie Shah, Steven Sloman, Shannon Vallor, Toby Walsh;2022
10.48550/ARXIV.2211.05667;Zixi Chen, Varshini Subhash, Marton Havasi, Weiwei Pan, Finale Doshi-Velez;2022
10.48550/ARXIV.2211.07719;Sanjana Narayanan, Isaac Lage, Finale Doshi-Velez;2022
10.48550/ARXIV.2211.09184;Jiayu Yao, Yaniv Yacoby, Beau Coker, Weiwei Pan, Finale Doshi-Velez;2022
10.48550/ARXIV.2212.00863;Eura Shin, Siddharth Swaroop, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez;2022
;Been Kim, Finale Doshi-Velez;2021
10.1162/COLI_A_00399;Lifeng Jin, Lane Schwartz, Finale Doshi-Velez, Timothy A. Miller, William Schuler;2021
10.1613/JAIR.1.12558;Mike Wu, Sonali Parbhoo, Michael C. Hughes, Volker Roth 0001, Finale Doshi-Velez;2021
;Nari Johnson, Sonali Parbhoo, Andrew Slavin Ross, Finale Doshi-Velez;2021
10.1145/3411764.3445385;Maia Jacobs, Jeffrey He, Melanie F. Pradier, Barbara Lam, Andrew C. Ahn, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Krzysztof Z. Gajos;2021
10.1145/3411764.3445296;Andrew Slavin Ross, Nina Chen, Elisa Zhao Hang, Elena L. Glassman, Finale Doshi-Velez;2021
;Andrew Slavin Ross, Finale Doshi-Velez;2021
;Simon P. Shen, Yecheng Jason Ma, Omer Gottesman, Finale Doshi-Velez;2021
;Jiayu Yao, Emma Brunskill, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez;2021
;Kai Wang 0040, Sanket Shah, Haipeng Chen 0001, Andrew Perrault, Finale Doshi-Velez, Milind Tambe;2021
10.1109/VAHC53616.2021.00007;Tianyi Zhang 0001, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Elena L. Glassman;2021
;Kristine Zhang, Yuanheng Wang, Jianzhun Du, Brian Chu, Leo Anthony Celi, Ryan Kindle, Finale Doshi-Velez;2021
;Melanie F. Pradier, Javier Zazo, Sonali Parbhoo, Roy H. Perlis, Maurizio Zazzi, Finale Doshi-Velez;2021
;Maia Jacobs, Jeffrey He, Melanie F. Pradier, Barbara Lam, Andrew C. Ahn, Thomas H. McCoy, Roy H. Perlis, Finale Doshi-Velez, Krzysztof Z. Gajos;2021
;Andrew Slavin Ross, Nina Chen, Elisa Zhao Hang, Elena L. Glassman, Finale Doshi-Velez;2021
;Andrew Slavin Ross, Finale Doshi-Velez;2021
;Harvineet Singh, Shalmali Joshi, Finale Doshi-Velez, Himabindu Lakkaraju;2021
;Kai Wang 0040, Sanket Shah, Haipeng Chen 0001, Andrew Perrault, Finale Doshi-Velez, Milind Tambe;2021
;Beau Coker, Weiwei Pan, Finale Doshi-Velez;2021
;Anita Mahinpei, Justin Clark, Isaac Lage, Finale Doshi-Velez, Weiwei Pan;2021
;Eura Shin, Pedja Klasnja, Susan A. Murphy, Finale Doshi-Velez;2021
;Simon P. Shen, Yecheng Jason Ma, Omer Gottesman, Finale Doshi-Velez;2021
;Shalmali Joshi, Sonali Parbhoo, Finale Doshi-Velez;2021
;Sarah Rathnam, Susan A. Murphy, Finale Doshi-Velez;2021
;Nari Johnson, Sonali Parbhoo, Andrew Slavin Ross, Finale Doshi-Velez;2021
;Abhishek Sharma, Catherine Zeng, Sanjana Narayanan, Sonali Parbhoo, Finale Doshi-Velez;2021
;Ramtin Keramati, Omer Gottesman, Leo Anthony Celi, Finale Doshi-Velez, Emma Brunskill;2021
;Andrew Slavin Ross, Weiwei Pan, Leo A. Celi, Finale Doshi-Velez;2020
;Mike Wu, Sonali Parbhoo, Michael C. Hughes, Ryan Kindle, Leo A. Celi, Maurizio Zazzi, Volker Roth 0001, Finale Doshi-Velez;2020
;Joseph Futoma, Michael C. Hughes, Finale Doshi-Velez;2020
;Jason Ren, Russell Kunes, Finale Doshi-Velez;2020
;Mingyu Lu, Zachary Shahn, Daby Sow, Finale Doshi-Velez, Li-Wei H. Lehman;2020
10.1145/3368555.3384450;Niranjani Prasad, Barbara E. Engelhardt, Finale Doshi-Velez;2020
;Omer Gottesman, Joseph Futoma, Yao Liu 0009, Sonali Parbhoo, Leo A. Celi, Emma Brunskill, Finale Doshi-Velez;2020
10.1007/978-3-030-66888-4_5;Han-Ching Ou, Kai Wang 0040, Finale Doshi-Velez, Milind Tambe;2020
;Sonali Parbhoo, Mario Wieser, Volker Roth 0001, Finale Doshi-Velez;2020
;Jianzhun Du, Joseph Futoma, Finale Doshi-Velez;2020
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Himabindu Lakkaraju, Finale Doshi-Velez;2020
;Beau Coker, Melanie Fernandes Pradier, Finale Doshi-Velez;2020
;Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens;2020
;Joseph Futoma, Muhammad A. Masood, Finale Doshi-Velez;2020
;Joseph Futoma, Michael C. Hughes, Finale Doshi-Velez;2020
;Omer Gottesman, Joseph Futoma, Yao Liu 0009, Sonali Parbhoo, Leo Anthony Celi, Emma Brunskill, Finale Doshi-Velez;2020
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez;2020
;Jiayu Yao, Emma Brunskill, Weiwei Pan, Susan A. Murphy, Finale Doshi-Velez;2020
;Mingyu Lu, Zachary Shahn, Daby Sow, Finale Doshi-Velez, Li-Wei H. Lehman;2020
;Yash Nair, Finale Doshi-Velez;2020
;Sujay Thakur, Cooper Lorsung, Yaniv Yacoby, Finale Doshi-Velez, Weiwei Pan;2020
;Jianzhun Du, Joseph Futoma, Finale Doshi-Velez;2020
;Théo Guénais, Dimitris Vamvourellis, Yaniv Yacoby, Finale Doshi-Velez, Weiwei Pan;2020
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez;2020
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Himabindu Lakkaraju, Finale Doshi-Velez;2020
;Isaac Lage, Finale Doshi-Velez;2020
;Elisa Bertino, Finale Doshi-Velez, Maria L. Gini, Daniel Lopresti, David Parkes;2020
10.1007/S10458-019-09418-W;Ofra Amir, Finale Doshi-Velez, David Sarne;2019
;Soumya Ghosh, Jiayu Yao, Finale Doshi-Velez;2019
;Muhammad A. Masood, Finale Doshi-Velez;2019
10.1002/SAM.11415;Angela Fan, Finale Doshi-Velez, Luke Miratrix;2019
;Yaniv Yacoby, Weiwei Pan, Finale Doshi-Velez;2019
10.18653/V1/P19-1234;Lifeng Jin, Finale Doshi-Velez, Timothy A. Miller, Lane Schwartz, William Schuler;2019
;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir;2019
;Isaac Lage, Emily Chen, Jeffrey He, Menaka Narayanan, Been Kim, Samuel J. Gershman, Finale Doshi-Velez;2019
;Omer Gottesman, Yao Liu 0009, Scott Sussex, Emma Brunskill, Finale Doshi-Velez;2019
10.24963/IJCAI.2019/194;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir;2019
10.24963/IJCAI.2019/819;Donghun Lee, Srivatsan Srinivasan, Finale Doshi-Velez;2019
10.24963/IJCAI.2019/821;Muhammad A. Masood, Finale Doshi-Velez;2019
;Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens;2019
;Xuefeng Peng, Yi Ding, David Wihl, Omer Gottesman, Matthieu Komorowski, Li-Wei H. Lehman, Andrew Slavin Ross, Aldo Faisal, Finale Doshi-Velez;2019
;Isaac Lage, Emily Chen, Jeffrey He, Menaka Narayanan, Been Kim, Sam Gershman, Finale Doshi-Velez;2019
;Donghun Lee, Srivatsan Srinivasan, Finale Doshi-Velez;2019
;Omer Gottesman, Yao Liu 0009, Scott Sussex, Emma Brunskill, Finale Doshi-Velez;2019
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Srivatsan Srinivasan, Anirudh Suresh, Jiayu Yao, Melanie F. Pradier, Finale Doshi-Velez;2019
;Omer Gottesman, Weiwei Pan, Finale Doshi-Velez;2019
;Niranjani Prasad, Barbara E. Engelhardt, Finale Doshi-Velez;2019
;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir;2019
;Jonathan S. Rosenfeld, Jonathan Frankle, Michael Carbin, Nir Shavit;2021
