doi;coo_authors
;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir
;Isaac Lage, Emily Chen, Jeffrey He, Menaka Narayanan, Been Kim, Samuel J. Gershman, Finale Doshi-Velez
;Omer Gottesman, Yao Liu 0009, Scott Sussex, Emma Brunskill, Finale Doshi-Velez
10.24963/IJCAI.2019/194;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir
10.24963/IJCAI.2019/819;Donghun Lee, Srivatsan Srinivasan, Finale Doshi-Velez
10.24963/IJCAI.2019/821;Muhammad A. Masood, Finale Doshi-Velez
;Finale Doshi-Velez, Jim Fackler, Ken Jung, David C. Kale, Rajesh Ranganath, Byron C. Wallace, Jenna Wiens
;Xuefeng Peng, Yi Ding, David Wihl, Omer Gottesman, Matthieu Komorowski, Li-Wei H. Lehman, Andrew Slavin Ross, Aldo Faisal, Finale Doshi-Velez
;Isaac Lage, Emily Chen, Jeffrey He, Menaka Narayanan, Been Kim, Sam Gershman, Finale Doshi-Velez
;Donghun Lee, Srivatsan Srinivasan, Finale Doshi-Velez
;Omer Gottesman, Yao Liu 0009, Scott Sussex, Emma Brunskill, Finale Doshi-Velez
;Wanqian Yang, Lars Lorch, Moritz A. Graule, Srivatsan Srinivasan, Anirudh Suresh, Jiayu Yao, Melanie F. Pradier, Finale Doshi-Velez
;Omer Gottesman, Weiwei Pan, Finale Doshi-Velez
;Niranjani Prasad, Barbara E. Engelhardt, Finale Doshi-Velez
;Isaac Lage, Daphna Lifschitz, Finale Doshi-Velez, Ofra Amir
;Jonathan S. Rosenfeld, Jonathan Frankle, Michael Carbin, Nir Shavit
;Jonathan S. Rosenfeld, Jonathan Frankle, Michael Carbin, Nir Shavit
10.48550/ARXIV.2303.06480;Xingyu Liu, Alex Leonardi, Lu Yu, Chris Gilmer-Hill, Matthew L. Leavitt, Jonathan Frankle
10.1145/3511265.3550446;A. Feder Cooper, Jonathan Frankle, Christopher De Sa
;Tiffany J. Vlaar, Jonathan Frankle
10.48550/ARXIV.2204.08377;Andi Peng, Jessica Zosa Forde, Yonadav Shavit, Jonathan Frankle
10.48550/ARXIV.2206.00832;Jacob Portes, Davis W. Blalock, Cory Stephenson, Jonathan Frankle
10.48550/ARXIV.2206.01278;Mansheej Paul, Brett W. Larsen, Surya Ganguli, Jonathan Frankle, Gintare Karolina Dziugaite
10.48550/ARXIV.2206.11834;A. Feder Cooper, Jonathan Frankle, Christopher De Sa
10.48550/ARXIV.2210.03044;Mansheej Paul, Feng Chen, Brett W. Larsen, Jonathan Frankle, Surya Ganguli, Gintare Karolina Dziugaite
10.48550/ARXIV.2210.13738;Tian Jin, Michael Carbin, Daniel M. Roy 0001, Jonathan Frankle, Gintare Karolina Dziugaite
10.48550/ARXIV.2211.00683;Cody Blakeney, Jessica Zosa Forde, Jonathan Frankle, Ziliang Zong, Matthew L. Leavitt
10.48550/ARXIV.2212.00291;Zachary Ankner, Alex Renda, Gintare Karolina Dziugaite, Jonathan Frankle, Tian Jin
10.1109/CVPR46437.2021.01604;Tianlong Chen, Jonathan Frankle, Shiyu Chang, Sijia Liu 0001, Yang Zhang 0001, Michael Carbin, Zhangyang Wang
;Jonathan Frankle, Gintare Karolina Dziugaite, Daniel Roy 0001, Michael Carbin
;Jonathan Frankle, David J. Schwab, Ari S. Morcos
